Name,Platform,Year,Genre,Publisher,Developers,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
GTA V,PS4,2013,Action,Rockstar,Rockstar North,25.0,22.0,1.2,3.0,51.2
FIFA 21,PS5,2020,Sports,EA Sports,EA Canada,5.2,6.1,0.8,1.5,13.6
Call of Duty,Xbox,2019,Shooter,Activision,Infinity Ward,8.1,7.9,0.5,1.8,18.3
Minecraft,PC,2011,Sandbox,Mojang,Mojang Studios,12.3,8.5,0.3,2.1,23.2
The Witcher 3,PC,2015,RPG,CD Projekt,CD Projekt Red,4.5,5.0,0.4,1.0,10.9
Super Mario,Switch,2017,Adventure,Nintendo,Nintendo EAD,9.8,10.1,5.5,2.4,27.8
PUBG,Mobile,2018,Shooter,Tencent,PUBG Corp,7.2,6.8,0.1,1.2,15.3
Cyberpunk 2077,PC,2020,RPG,CD Projekt,CD Projekt Red,3.5,3.2,0.2,0.9,7.8
Fortnite,PC,2017,Battle Royale,Epic Games,Epic Games,10.0,8.4,0.6,1.7,20.7
Apex Legends,PC,2019,Battle Royale,EA,Respawn,4.0,3.8,0.4,0.8,9.0
